synonym,canonical_name
Roma,Rome
Tel aviv,Tel Aviv
United States,USA
United States of America,USA
U.S.A.,USA
U.S.,USA
America,USA
UK,United Kingdom
Great Britain,United Kingdom
England,United Kingdom
Scotland,United Kingdom
Wales,United Kingdom
Northern Ireland,United Kingdom
The Netherlands,Netherlands
Holland,Netherlands
Rep. of Korea,South Korea
"Korea, Republic of",South Korea
PRC,China
People's Republic of China,China
Mainland China,China
UAE,United Arab Emirates
Moskva,Moscow
Sankt-Peterburg,Saint Petersburg
Muenchen,Munich
Köln,Cologne
Cote d'Ivoire,Ivory Coast
Espana,Spain
Deutschland,Germany
Nippon,Japan
Brasil,Brazil
"Beijin, China","Beijing, China"
"Beijing, China","Bejing, China"
"Brisbane Qld, Australia","Brisbane, Qld, Australia"
"Brussel, Belgium","Brussels, Belgium"
"Camridge, Ma, USA","Cambridge, Ma, USA"
"Castello, Spain","Castelló, Spain"
"Castelló De La Plana, Spain","Castellón De La Plana, Spain"
"Clayton Vic, Australia","Clayton, Vic, Australia"
"Concepcion, Chile","Concepción, Chile"
"Dollard-Des Ormeaux, Pq, Canada","Dollard-Des-Ormeaux, Quebec, Canada"
"Dublin 4, Ireland","Dublin 7, Ireland"
"Fremont, Ca, USA","Freemont, Ca, USA"
"Geneva, Switzerland","Geneve, Switzerland"
"Geneve, Switzerland","Genève, Switzerland"
"Genoa, Italy","Genova, Italy"
"Goyang, Republic Of Korea","Goyanh, South Korea"
"Gumi, Republic Of Korea","Guri, South Korea"
"Gunsan, Republic Of Korea","Kunsan, South Korea"
"Istanbul, Turkey","İstanbul, Turkey"
"Juelich, Germany","Julich, Germany"
"Julich, Germany","Jülich, Germany"
"Krakow, Poland","Kraków, Poland"
"Le Chesnay Rocquencourt, France","Le Chesnay-Rocquencourt, France"
"Liege, Belgium","Liège, Belgium"
"Lisboa, Portugal","Lisbon, Portugal"
"Los Anegeles, Ca, USA","Los Angeles, Ca, USA"
"Macao, Macao","Macau, Macao"
"Monteal, Canada","Montréal, Canada"
"Monteal, Pq, Canada","Montréal, Canada"
"Montrea;, Pq, Canada","Montréal, Canada"
"Montreal, Canada","Montréal, Canada"
"Montreal, Pq, Canada","Montréal, Canada"
"Montréal,, Canada","Montréal, Canada"
"Montréal,, Pq, Canada","Montréal, Canada"
"Northridge,, Ca, USA","Northridge, Ca, USA"
"Ny, Ny, USA","New York City, USA"
"Prague 2, Czech Republic","Prague, Czech Republic"
"Prague 2, Czech Republic","Prague, Czech Republic"
"Prague 6, Czech Republic","Prague, Czech Republic"
"Quebec, Canada","Québec, Canada"
"Quebec, Pq, Canada","Québec, Canada"
"Queretaro, Mexico","Querétaro, Mexico"
"Santo Andre, Brazil","Santo André, Brazil"
"Sao Paulo, Brazil","São Paulo, Brazil"
"Seul, Republic Of Korea","Seoul, South Korea"
"Sevilla, Spain","Seville, Spain"
"Shanghai, China","Shenghai, China"
"Somerville, Ma, USA","Sommerville, Ma, USA"
"St Louis, Mo, USA","St. Louis, Mo, USA"
"St Lucia, Australia","St. Lucia, Australia"
"Surry, Bc, Canada","Surrey, Bc, Canada"
"Suwon Si, Republic Of Korea","Suwon-Si, South Korea"
"Tel Aviv, Israel","Tel-Aviv, Israel"
"Trois-Rivieres, Pq, Canada","Trois-Rivières, Quebec, Canada"
"Valparaiso, Chile","Valparaíso, Chile"
"West Orang, Nj, USA","West Orange, Nj, USA"
"Winston Salem, Nc, USA","Winston-Salem, Nc, USA"
"Wiston-Salem, Nc, USA","Winston-Salem, Nc, USA"
"Wurzburg, Germany","Würzburg, Germany"
"Zurich, Switzerland","Zürich, Switzerland"
"Aarhus C, Denmark","Aarhus, Denmark"
"Bei Jing, China","Beijing, China"
"Beijin, China","Bejing, China"
"Coral Gabels, Fl, USA","Coral Gables, Fl, USA"
"Dae-Gu, Republic Of Korea","Daegu, South Korea"
"Daejeon,, Republic Of Korea","Daejeon, South Korea"
"Daejon, Republic Of Korea","Daejeon, South Korea"
"Donostia San Sebastian, Spain","Donostia-San Sebastián, Spain"
"Donostia/San Sebastián, Spain","Donostia-San Sebastián, Spain"
"Dublin 4, Ireland","Dublin, Ireland"
"Dublin 7, Ireland","Dublin, Ireland"
"Duesseldorf, Germany","Düsseldorf, Germany"
"Gangnam, Republic Of Korea","Gangnamgu, South Korea"
"Geneva, Switzerland","Genève, Switzerland"
"Gif Sur Yvette, France","Gif-Sur-Yvette, France"
"Goyang, Republic Of Korea","Goyangsi, South Korea"
"Goyang, Republic Of Korea","Pohang, South Korea"
"Goyang-Si, Republic Of Korea","Goyangsi, South Korea"
"Goyang-Si, Republic Of Korea","Pohang-Si, South Korea"
"Goyangsi, Republic Of Korea","Pohangsi, South Korea"
"Graefelfing, Germany","Gräfelfing, Germany"
